City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,kouango,4.9934,19.9619,27.46,43,38,0.4,CF,1680476055
305,lufilufi,-13.8745,-171.5986,29.88,71,47,1.98,WS,1680476055
306,otradnoye,59.7775,30.8181,-1.97,96,100,5.51,RU,1680476055
307,strezhevoy,60.7333,77.5889,1.28,96,96,4.98,RU,1680476055
308,bairiki,1.3292,172.9752,30.0,74,40,4.12,KI,1680475533
309,cervo,43.6702,-7.4101,9.42,80,32,4.88,ES,1680476056
310,avera,33.194,-82.5271,24.03,49,82,1.9,US,1680475833
311,andenes,69.3143,16.1194,-2.82,63,100,5.66,NO,1680476056
312,kashi,39.4547,75.9797,14.56,12,20,3.0,CN,1680476056
313,englehart,47.8169,-79.8664,6.01,60,20,9.26,CA,1680476057
314,tucurui,-3.7661,-49.6725,23.46,94,100,0.39,BR,1680475368
315,bozdar,27.1828,68.636,27.05,39,45,6.29,PK,1680476057
316,balakirevo,56.5059,38.8432,4.57,93,100,2.22,RU,1680476057
317,gabu,12.2833,-14.2167,28.12,47,1,3.54,GW,1680476057
318,mar del plata,-38.0023,-57.5575,21.08,59,0,2.57,AR,1680475846
319,ocos,14.5094,-92.1933,31.1,67,97,4.7,GT,1680476057
320,zhezkazgan,47.8043,67.7144,2.39,34,52,6.94,KZ,1680475540
321,mackenzie,55.2999,-123.1698,5.12,36,40,2.06,CA,1680476058
322,mexicali,32.6519,-115.4683,30.92,9,0,6.2,MX,1680475903
323,redlands,34.0556,-117.1825,22.58,37,0,4.12,US,1680476058
324,verkhnyaya khava,51.8404,39.9413,2.04,75,43,2.29,RU,1680476058
325,pouebo,-20.4,164.5667,28.92,65,5,2.16,NC,1680476059
326,santa barbara,34.7333,-120.0343,16.86,65,40,5.14,US,1680476059
327,celestun,20.8667,-90.4,27.19,71,1,7.14,MX,1680476060
328,adrar,20.5022,-10.0711,25.13,5,0,2.87,MR,1680476060
329,puerto padre,21.195,-76.6028,25.3,66,9,5.44,CU,1680476060
330,wladyslawowo,54.7909,18.4009,2.74,66,5,8.94,PL,1680476060
331,lagunas,-5.2269,-75.6753,24.09,96,87,1.22,PE,1680475518
332,coahuayana,18.7333,-103.6833,29.41,48,97,2.75,MX,1680476061
333,harer,9.3094,42.1258,16.45,87,99,1.02,ET,1680476061
334,khatanga,71.9667,102.5,-13.25,96,100,4.36,RU,1680476061
335,tanabe,33.7333,135.3667,13.65,81,94,1.62,JP,1680476061
336,tiksi,71.6872,128.8694,-7.67,80,100,8.21,RU,1680476062
337,guadalupe y calvo,26.1,-106.9667,19.39,18,100,6.53,MX,1680476062
338,fort myers beach,26.452,-81.9481,29.04,75,0,6.69,US,1680476062
339,san jeronimo,-11.9472,-75.2829,12.19,76,97,1.56,PE,1680476062
340,victoria,22.2855,114.1577,22.03,90,95,0.45,HK,1680475809
341,ikalamavony,-21.15,46.5833,19.19,92,73,1.92,MG,1680476062
342,agadir,30.4202,-9.5982,17.25,70,0,3.13,MA,1680475891
343,ust-tsilma,65.441,52.1498,-16.69,100,83,1.1,RU,1680476063
344,qui nhon,13.7667,109.2333,24.63,88,39,1.85,VN,1680476063
345,hami,42.8,93.45,1.67,26,76,2.25,CN,1680475527
346,port-gentil,-0.7193,8.7815,27.98,81,75,3.6,GA,1680475843
347,salalah,17.0151,54.0924,28.05,83,75,3.09,OM,1680476065
348,havelock,34.8791,-76.9013,17.98,57,0,4.12,US,1680476065
349,wadi musa,30.3222,35.4793,12.92,38,0,2.43,JO,1680476065
350,mweka,-4.85,21.5667,20.13,97,39,0.23,CD,1680476065
351,bereda,43.2686,-7.5406,2.86,100,48,1.23,ES,1680476066
352,del rio,29.3627,-100.8968,35.06,20,0,3.6,US,1680476066
353,norsup,-16.0667,167.3833,29.62,70,23,4.61,VU,1680476066
354,brest,52.1,23.7,2.98,81,100,7.0,BY,1680476067
355,peterhead,57.5058,-1.7981,4.22,76,35,7.92,GB,1680476067
356,sobolevo,54.4299,31.8996,0.8,96,100,5.15,RU,1680475520
357,meulaboh,4.1363,96.1285,24.37,85,100,2.04,ID,1680476067
358,sanmenxia,34.7747,111.1814,11.79,91,100,1.42,CN,1680476067
359,tazovskiy,67.4667,78.7,-13.14,97,88,4.26,RU,1680476068
360,chaozhou,23.6651,116.6379,17.92,76,25,1.99,CN,1680475983
361,klyuchi,52.2667,79.1667,-3.4,46,88,1.9,RU,1680476068
362,tolaga bay,-38.3667,178.3,18.27,77,77,3.77,NZ,1680476068
363,hirara,24.8,125.2833,18.92,77,75,1.54,JP,1680476068
364,nome,64.5011,-165.4064,-12.72,78,0,4.63,US,1680475528
365,sistranda,63.7256,8.834,2.98,76,85,7.41,NO,1680475520
366,dangriga,16.9692,-88.2321,26.59,74,6,5.39,BZ,1680476068
